epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,41.4239,5.32003,0.00759,0.03345,5.27889,1.66013e-05,1.66013e-05,1.66013e-05
2,83.7294,5.23673,0.02114,0.07437,5.15734,3.21701e-05,3.21701e-05,3.21701e-05
3,121.76,5.09558,0.05335,0.16515,4.96261,4.6639e-05,4.6639e-05,4.6639e-05
4,160.63,4.8736,0.1021,0.2874,4.67953,4.505e-05,4.505e-05,4.505e-05
5,196.703,4.59504,0.15272,0.37669,4.36837,4.34e-05,4.34e-05,4.34e-05
6,234.943,4.31448,0.20047,0.45629,4.07659,4.175e-05,4.175e-05,4.175e-05
7,271.108,4.05476,0.24251,0.51076,3.8072,4.01e-05,4.01e-05,4.01e-05
8,309.908,3.82162,0.27882,0.56411,3.57199,3.845e-05,3.845e-05,3.845e-05
9,345.911,3.6028,0.3078,0.60204,3.36748,3.68e-05,3.68e-05,3.68e-05
10,381.223,3.43059,0.33939,0.63636,3.17794,3.515e-05,3.515e-05,3.515e-05
11,417.804,3.2626,0.36401,0.66086,3.02658,3.35e-05,3.35e-05,3.35e-05
12,453.296,3.12319,0.38826,0.68188,2.87272,3.185e-05,3.185e-05,3.185e-05
13,489.652,2.99854,0.40866,0.70439,2.75792,3.02e-05,3.02e-05,3.02e-05
14,525.411,2.88953,0.42619,0.72242,2.63983,2.855e-05,2.855e-05,2.855e-05
15,561.735,2.78099,0.45119,0.74157,2.53145,2.69e-05,2.69e-05,2.69e-05
16,598.06,2.69929,0.46425,0.75339,2.45739,2.525e-05,2.525e-05,2.525e-05
17,633.283,2.61513,0.48153,0.77005,2.39071,2.36e-05,2.36e-05,2.36e-05
18,669.906,2.55759,0.48887,0.77876,2.31211,2.195e-05,2.195e-05,2.195e-05
19,704.741,2.49427,0.50019,0.78659,2.26786,2.03e-05,2.03e-05,2.03e-05
20,741.11,2.43517,0.50678,0.79157,2.20452,1.865e-05,1.865e-05,1.865e-05
21,823.679,2.37979,0.51536,0.79729,2.16588,1.7e-05,1.7e-05,1.7e-05
22,859.234,2.35235,0.52382,0.80351,2.11296,1.535e-05,1.535e-05,1.535e-05
23,895.432,2.3143,0.53202,0.80848,2.08127,1.37e-05,1.37e-05,1.37e-05
24,931.095,2.27372,0.53538,0.8106,2.0653,1.205e-05,1.205e-05,1.205e-05
25,967.246,2.25561,0.53501,0.81234,2.04314,1.04e-05,1.04e-05,1.04e-05
26,1002.04,2.2319,0.54185,0.81445,2.02844,8.75e-06,8.75e-06,8.75e-06
27,1038.31,2.22145,0.54633,0.8188,1.99413,7.1e-06,7.1e-06,7.1e-06
28,1073.88,2.19008,0.54881,0.82129,1.9923,5.45e-06,5.45e-06,5.45e-06
29,1110.22,2.20567,0.55155,0.82179,1.97507,3.8e-06,3.8e-06,3.8e-06
30,1145.39,2.19227,0.54968,0.82316,1.97626,2.15e-06,2.15e-06,2.15e-06
